2019-09-09 16:28:20.327 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 16:28:21.138 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 16:28:22.911 INFO  Consumer.Program Requesting registration, PublisherID = d05627df-70fc-431a-b055-63c1601730e2
2019-09-09 16:28:22.968 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 16:28:48.984 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 16:28:49.868 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 16:28:50.216 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 16:28:51.398 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelOne
2019-09-09 16:31:41.984 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 16:31:42.748 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 16:31:43.007 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 16:31:48.738 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 16:31:52.198 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 16:31:53.857 INFO  Consumer.Program Requesting registration, PublisherID = 616e3d97-5574-491d-a150-73be8e4da639
2019-09-09 16:31:53.979 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 16:31:54.357 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelOne
2019-09-09 16:31:58.018 INFO  Consumer.Program Unknown input. Please try again.
2019-09-09 16:31:58.021 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 16:31:59.843 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 16:32:01.346 INFO  Consumer.Program Subscriber will be subscribed to the below available channels...
2019-09-09 16:32:01.352 INFO  Consumer.Program Requesting registration, SubscriberID = 7de253b2-805f-463c-aa66-d5c11203a12d, ChannelName = ChannelOne
2019-09-09 16:32:01.402 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 16:32:01.629 INFO  ConsoleApp1.SubscriberRegisteredHandler Subscriber Registered successfully.... ChannelName registered to: ChannelOne...
2019-09-09 17:12:29.831 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 17:12:30.968 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 17:12:31.516 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:12:37.243 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 17:12:39.283 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 17:12:41.417 INFO  Consumer.Program Requesting registration, PublisherID = 097cf41f-6723-42a9-9a8b-ce1c4835e0de
